ind_no_prog_max,ind_no_prog_min,ood_no_prog_max,ood_no_prog_min
-1.4304903745651245,-4.775451183319092,3.4615304470062256,0.046904563903808594
-1.6884140968322754,-7.800647735595703,3.45745849609375,-2.270656108856201
-1.758047103881836,-13.70836067199707,3.3568036556243896,-4.331784248352051
-1.777174472808838,-17.256969451904297,3.322031021118164,-6.86386775970459
-1.726956844329834,-19.383928298950195,3.3691751956939697,-8.486994743347168
-1.7209553718566895,-20.679580688476562,3.4697442054748535,-9.483735084533691
-1.728427529335022,-21.466655731201172,3.4999284744262695,-10.147247314453125
-1.7476117610931396,-21.9212646484375,3.4922900199890137,-10.597626686096191
-1.7767107486724854,-22.14792251586914,3.465299129486084,-10.824341773986816
-1.8081822395324707,-22.221052169799805,3.440211772918701,-10.926591873168945
-1.8273899555206299,-22.18328094482422,3.4230880737304688,-10.93855094909668
-1.8281421661376953,-22.06515121459961,3.413473606109619,-10.880496978759766
-1.8239166736602783,-21.892719268798828,3.403155565261841,-10.75344181060791
-1.8219714164733887,-21.68596076965332,3.3930320739746094,-10.59267520904541
-1.8209824562072754,-21.455459594726562,3.380803108215332,-10.413250923156738
-1.8210711479187012,-21.213531494140625,3.3663430213928223,-10.460586547851562
-1.8197290897369385,-20.968252182006836,3.3512067794799805,-10.640755653381348
-1.8108503818511963,-20.727327346801758,3.3270533084869385,-10.808109283447266
-1.8048295974731445,-20.49869728088379,3.300854444503784,-10.969314575195312
-1.8017183542251587,-20.285160064697266,3.2697744369506836,-11.126035690307617
-1.8015352487564087,-20.09156608581543,3.2443418502807617,-11.278947830200195
-1.803778886795044,-19.919240951538086,3.223428964614868,-11.428203582763672
-1.8085753917694092,-19.770212173461914,3.212045669555664,-11.574373245239258
-1.8149954080581665,-19.64373207092285,3.210094928741455,-11.716558456420898
-1.8223234415054321,-19.53533363342285,3.2069573402404785,-11.844816207885742
-1.8301507234573364,-19.44412612915039,3.2027411460876465,-11.953805923461914
-1.838625431060791,-19.362659454345703,3.197261333465576,-12.041219711303711
-1.8477559089660645,-19.285892486572266,3.1907577514648438,-12.12221908569336
-1.856832504272461,-19.21356964111328,3.1835365295410156,-12.185075759887695
-1.8656901121139526,-19.145095825195312,3.1753649711608887,-12.238042831420898
-1.8741976022720337,-19.080669403076172,3.1683030128479004,-12.284582138061523
-1.8753703832626343,-19.019962310791016,3.1659107208251953,-12.324735641479492
-1.8803812265396118,-18.965900421142578,3.163907289505005,-12.353303909301758
-1.8832800388336182,-18.919782638549805,3.1605217456817627,-12.369340896606445
-1.8868612051010132,-18.877315521240234,3.1557586193084717,-12.369880676269531
-1.8923695087432861,-18.84073829650879,3.150545597076416,-12.352960586547852
-1.8999497890472412,-18.808055877685547,3.146955966949463,-12.320682525634766
-1.9081048965454102,-18.778244018554688,3.1450228691101074,-12.268890380859375
-1.910049557685852,-18.748046875,3.142251968383789,-12.19754409790039
-1.9127345085144043,-18.714628219604492,3.1390204429626465,-12.113601684570312
-1.914931058883667,-18.678377151489258,3.1359407901763916,-12.004947662353516
-1.914865493774414,-18.640825271606445,3.1341631412506104,-11.877656936645508
-1.9148186445236206,-18.598529815673828,3.133798599243164,-11.734333038330078
-1.9148664474487305,-18.551361083984375,3.1332993507385254,-11.579200744628906
-1.9149696826934814,-18.49895668029785,3.133007049560547,-11.415306091308594
-1.9140913486480713,-18.443870544433594,3.132265090942383,-11.23859977722168
-1.9131855964660645,-18.386810302734375,3.1311495304107666,-11.0496826171875
-1.9124162197113037,-18.328014373779297,3.1294753551483154,-10.847192764282227
-1.9118911027908325,-18.273170471191406,3.1269779205322266,-10.643091201782227
-1.9117822647094727,-18.22346305847168,3.123871326446533,-10.441662788391113
-1.911865234375,-18.172340393066406,3.1207284927368164,-10.247490882873535
-1.9120113849639893,-18.11578941345215,3.12020206451416,-10.059629440307617
-1.9123919010162354,-18.05440330505371,3.1190638542175293,-9.884882926940918
-1.9131749868392944,-17.992717742919922,3.117280960083008,-9.718514442443848
-1.9142963886260986,-17.931808471679688,3.1148290634155273,-9.549960136413574
-1.9153846502304077,-17.87124252319336,3.1119165420532227,-9.39574146270752
-1.9163495302200317,-17.811634063720703,3.108732223510742,-9.253605842590332
-1.9172558784484863,-17.757213592529297,3.105041265487671,-9.121956825256348
-1.9181697368621826,-17.709129333496094,3.101933002471924,-8.994812965393066
-1.9190590381622314,-17.668241500854492,3.1000542640686035,-8.867990493774414
-1.9199039936065674,-17.62923240661621,3.098048210144043,-8.750005722045898
-1.9208016395568848,-17.5953369140625,3.095989227294922,-8.643141746520996
-1.9217277765274048,-17.565744400024414,3.0939435958862305,-8.53601360321045
-1.9227246046066284,-17.53580665588379,3.0921785831451416,-8.424328804016113
-1.923806071281433,-17.500621795654297,3.0908260345458984,-8.313363075256348
-1.9248583316802979,-17.465320587158203,3.089674949645996,-8.205568313598633
-1.92591392993927,-17.432266235351562,3.088667392730713,-8.10103702545166
-1.9267371892929077,-17.399293899536133,3.087661027908325,-7.999747276306152
-1.9275360107421875,-17.36754035949707,3.0865089893341064,-7.905672073364258
-1.9283379316329956,-17.33820343017578,3.085343837738037,-7.81568717956543
-1.9292024374008179,-17.31513023376465,3.08425235748291,-7.731083869934082
-1.9301443099975586,-17.3033447265625,3.0832386016845703,-7.648336410522461
-1.93098783493042,-17.296161651611328,3.0822091102600098,-7.56683349609375
-1.9318019151687622,-17.287172317504883,3.081212043762207,-7.492436408996582
-1.9326967000961304,-17.276384353637695,3.080132484436035,-7.42501163482666
-1.9334970712661743,-17.268190383911133,3.0789408683776855,-7.365875244140625
-1.9342727661132812,-17.261322021484375,3.0776195526123047,-7.315558433532715
-1.9350727796554565,-17.25816535949707,3.076158046722412,-7.268838882446289
