Model gcn
OOD Test 1 Final AUROC: 98.03 OOD Test 1 Final AUPR: 97.81 OOD Test 1 Final FPR: 8.66
IND Test Score: 92.75

Model_mlayer gcn
OOD Test 1 Final AUROC: 97.98 OOD Test 1 Final AUPR: 97.76 OOD Test 1 Final FPR: 8.97
IND Test Score: 92.77

Model_slayer gcn
OOD Test 1 Final AUROC: 99.92 OOD Test 1 Final AUPR: 99.89 OOD Test 1 Final FPR: 0.07
IND Test Score: 92.76

Model_oodloss gcn
OOD Test 1 Final AUROC: 98.02 OOD Test 1 Final AUPR: 97.81 OOD Test 1 Final FPR: 8.66
IND Test Score: 92.75

Model_Final gcn
OOD Test 1 Final AUROC: 99.92 OOD Test 1 Final AUPR: 99.89 OOD Test 1 Final FPR: 0.07
IND Test Score: 92.77

